(43.64247239, -116.2106916)
(43.64247129, -116.21069116)
(43.64247365, -116.21069134)
(43.64247573, -116.21069348)
(43.64247666, -116.21069484)
(43.64247659, -116.21069469)
(43.64247658, -116.21069465)
(43.6424769, -116.21069303)
(43.6424769, -116.210693)
(43.64247689, -116.21069296)
(43.64247688, -116.21069294)
(43.64247704, -116.21069364)
(43.64247527, -116.21068996)
(43.64247548, -116.21068984)
(43.64247461, -116.21068887)
(43.64247549, -116.21068892)
(43.64247518, -116.21068401)
(43.64247426, -116.21068144)
(43.64247488, -116.21068108)
(43.64247258, -116.21067897)
(43.64249299, -116.21067728)
(43.64246283, -116.21068961)
(43.64246085, -116.21068566)
(43.64245158, -116.21065718)
(43.64244665, -116.2106124)
(43.64256245, -116.21059746)
(43.64261888, -116.21056414)
(43.64266879, -116.21064147)
(43.6427131, -116.21068257)
(43.6427626, -116.21075437)
(43.64281457, -116.21082176)
(43.64301625, -116.21112459)
(43.64308184, -116.21121042)
(43.64315373, -116.21129407)
(43.64321105, -116.21138483)
(43.64323372, -116.21149866)
(43.64326782, -116.21162027)
(43.64331782, -116.21176898)
(43.64340327, -116.21202745)
(43.6434981, -116.21209301)
(43.64358489, -116.2121332)
(43.64368908, -116.21218312)
(43.64377876, -116.21225788)
(43.64385678, -116.21234302)
(43.64392571, -116.21246289)
(43.64400429, -116.21257882)
(43.64409973, -116.21267793)
(43.64417388, -116.21277539)
(43.64424769, -116.21286365)
(43.64430533, -116.21291582)
(43.64426647, -116.21302901)
(43.64417557, -116.21312172)
(43.64408264, -116.21319048)
(43.64398626, -116.21324343)
(43.64388499, -116.21326009)
(43.64375347, -116.2132404)
(43.64363584, -116.21317979)
(43.64353786, -116.2131029)
(43.64344941, -116.21305017)
(43.64339242, -116.213064)
(43.64334928, -116.21313067)
(43.64334853, -116.21324245)
(43.64336273, -116.21337295)
(43.6433739, -116.21358559)
(43.64338893, -116.21372414)
(43.64339831, -116.21379874)
(43.64342348, -116.21392501)
(43.64343518, -116.21401325)
(43.64344327, -116.21414164)
(43.64344078, -116.21421931)
(43.6434067, -116.2143032)
(43.64336765, -116.21436699)
(43.64330231, -116.21439874)
(43.643232, -116.21447065)
(43.64316001, -116.2145572)
(43.64306109, -116.21461882)
(43.64298173, -116.21458546)
(43.64289079, -116.214519)
(43.64278587, -116.214502)
(43.64269926, -116.21449322)
(43.64263132, -116.21449269)
(43.64252604, -116.21449006)
(43.64243447, -116.21448801)
(43.6423412, -116.21449835)
(43.6422562, -116.21449507)
(43.64218632, -116.21445814)
(43.6420961, -116.21445779)
(43.64199399, -116.21448213)
(43.64189953, -116.21449385)
(43.6418143, -116.21448822)
(43.64172001, -116.21449002)
(43.64162969, -116.2144887)
(43.64158156, -116.21447625)
(43.64152878, -116.21447513)
(43.64145312, -116.21447383)
(43.64139682, -116.21452853)
(43.64133698, -116.21459707)
(43.64123539, -116.21456685)
(43.64111019, -116.21453772)
(43.64100647, -116.21451819)
(43.64089804, -116.21449468)
(43.64081805, -116.21445596)
(43.64076864, -116.21437633)
(43.64074178, -116.21427168)
(43.64071965, -116.21416173)
(43.64072731, -116.21403529)
(43.64074025, -116.21392623)
(43.6407502, -116.2138348)
(43.64075935, -116.21373341)
(43.64076504, -116.21362686)
(43.64075795, -116.21350326)
(43.64072075, -116.21341921)
(43.64064189, -116.21337803)
(43.64053279, -116.2133335)
(43.64043822, -116.21331514)
(43.64036304, -116.21331664)
(43.64026126, -116.21332297)
(43.64017571, -116.21330447)
(43.64016386, -116.21329994)
(43.64016317, -116.21329503)
(43.64016989, -116.21327794)
(43.64017045, -116.21327314)
(43.64017046, -116.21327207)
(43.64017664, -116.21327297)
(43.64017477, -116.21327183)
(43.64017255, -116.21327074)
(43.64014379, -116.21310293)
